UB,words,count,,type,mean
,structure,23,,"(noun,verb)",بناء
,view,23,,"(noun,verb)",منظر
,visit,23,,"(verb,noun)",يزور
,visual,23,,"(adjective,noun)",مرئي
,write,23,,(verb),يكتب
,wrong,23,,"(adjective,adverb,noun,verb)",خطأ
,account,22,,"(noun,verb)",حساب
,advertising,22,,(noun),دعاية
,affect,22,,"(verb,noun)",يؤثر
,ago,22,,"(adjective,adverb)",منذ
,anyone,22,,(pronoun),أي شخص
,approach,22,,(verb),يقترب
,avoid,22,,(verb),يتجنب
,ball,22,,"(noun,verb)",كرة
,behind,22,,"(preposition,adverb,adjective,noun)",خلف
,certainly,22,,(adverb),بالتأكيد
,concerned,22,,"(past,verb)",قلقان
,cover,22,,"(verb,noun)",غطاء
,discipline,22,,"(noun,verb)",تأديب
,location,22,,(noun),موقع
,medium,22,,"(noun,adjective)",واسطة
,normally,22,,(adverb),عادة
,prepare,22,,(verb),يحضر
,quick,22,,"(adjective,adverb,noun)",سريع
,ready,22,,"(adjective,verb)",مستعد
,report,22,,"(verb,noun)",تقرير
,rise,22,,"(verb,noun)",يعلو
,share,22,,"(noun,verb)",يشارك
,success,22,,(noun),نجاح
,addition,21,,(noun),إضافة
,apartment,21,,(noun),شقة
,balance,21,,"(noun,verb)",توازن
,bit,21,,"(noun,verb)",قليل
,black,21,,"(noun,verb,adjective,adverb)",أسود
,bottom,21,,"(noun,verb,adjective)",قاع
,build,21,,(verb),يبني
,choice,21,,"(noun,adjective)",خيار
,education,21,,(noun),تعليم
,gift,21,,"(noun,verb)",هدية
,impact,21,,"(noun,verb)",تأثير
,machine,21,,"(noun,verb)",آلة
,math,21,,(noun),الرياضيات
,moment,21,,(noun),لحظة
,painting,21,,(noun),تلوين
,politics,21,,(noun),سياسة
,shape,21,,"(noun,verb)",شكل
,straight,21,,"(adjective,adverb,noun)",مستقيم
,tool,21,,"(noun,verb)",أداة
,walk,21,,"(verb,noun)",يمشي
,white,21,,"(adjective,noun,verb)",أبيض
,wind,21,,"(noun,verb)",رياح
,achieve,20,,(verb),يحقق
,address,20,,"(noun,verb)",عنوان
,attention,20,,(noun),انتباه
,average,20,,"(noun,verb,adjective)",متوسط
,believe,20,,(verb),يعتقد
,beyond,20,,"(preposition,noun)",وَرَاءَ
,career,20,,"(noun,verb,adjective)",حياة مهنية
,culture,20,,"(noun,verb)",ثقافة
,decision,20,,(noun),قرار
,direct,20,,"(adjective,adverb,verb)",مباشر
,event,20,,(noun),حدث
,excellent,20,,"(adjective,interjection)",ممتاز
,extra,20,,"(adjective,adverb,noun)",إضافي
,intelligent,20,,(adjective),ذكي
,interesting,20,,(adjective),مثير للاهتمام
,junior,20,,"(adjective,noun)",مبتدئ
,morning,20,,"(noun,adverb)",صباح
,pick,20,,"(verb,noun)",يختار
,poor,20,,(adjective),فقير
,pot,20,,"(noun,verb)",وعاء
,pretty,20,,"(adjective,adverb,noun,verb)",جميل
,property,20,,(noun),ملكية
,receive,20,,(verb),يستلم
,seem,20,,(verb),يبدو
,shopping,20,,(noun),التسوق
,sign,20,,"(noun,verb)",لافتة
,student,20,,(noun),طالب
,table,20,,"(noun,verb)",طاولة
,task,20,,"(noun,verb)",مهمة
,unique,20,,"(adjective,noun)",فريد
,wood,20,,(noun),خشب
,anything,19,,"(pronoun,noun,adverb)",أي شئ
,classic,19,,"(adjective,noun)",كلاسيكي
,competition,19,,(noun),مسابقة
,condition,19,,"(noun,verb)",حالة
,contact,19,,"(noun,verb)",اتصال
,credit,19,,"(noun,verb)",ائتمان
,currently,19,,(adverb),حالياً
,discuss,19,,(verb),يناقش
,distribution,19,,(noun),توزيع
,egg,19,,"(noun,verb)",بيضة
,entertainment,19,,(noun),ترفيه
,final,19,,"(adjective,noun)",أخير
,happy,19,,(adjective),سعيد
,hope,19,,"(noun,verb)",يأمل
,ice,19,,"(noun,verb)",الجليد
,lift,19,,"(verb,noun)",يرفع
,mix,19,,"(verb,noun)",مزج
,network,19,,"(noun,verb)",شبكة
,north,19,,"(noun,adjective,adverb)",شمال
,office,19,,(noun),مكتب
,overall,19,,"(adjective,adverb,noun)",إجمالي
,population,19,,(noun),سكان
,president,19,,(noun),رئيس
,private,19,,"(adjective,noun)",خاص
,realize,19,,(verb),يدرك
,responsible,19,,(adjective),مسؤول
,separate,19,,"(adjective,verb,noun)",متفرق
,square,19,,"(noun,adjective,adverb)",مربع
,stop,19,,"(verb,noun)",قف
,teach,19,,"(verb,noun)",تعليم
,unit,19,,(noun),وحدة
,western,19,,"(adjective,noun)",الغربي
,yes,19,,(interjection),نعم
,alone,18,,"(adjective,adverb)",وحيد
,attempt,18,,"(noun,verb)",محاولة
,category,18,,(noun),فئة
,cigarette,18,,(noun),سيجارة
,concern,18,,"(verb,noun)",هَم
,contain,18,,(verb),يحتوي
,context,18,,(noun),سياق
,cute,18,,(adjective),لطيف
,date,18,,"(noun,verb)",تاريخ
,effect,18,,"(noun,verb)",تأثير
,extremely,18,,(adverb),لأقصى حد
,familiar,18,,"(adjective,noun)",مألوف
,finally,18,,(adverb),أخيراً
,fly,18,,"(verb,noun)",سافر
,follow,18,,(verb),يتبع
,helpful,18,,(adjective),متعاون
,introduction,18,,(noun),مقدمة
,link,18,,"(noun,verb)",وصلة
,official,18,,"(adjective,noun)",رسمي
,opportunity,18,,(noun),فرصة
,perfect,18,,"(adjective,verb,noun)",ممتاز
,performance,18,,(noun),أداء
,post,18,,"(noun,verb,adverb)",بريد
,recent,18,,(adjective),مؤخرًا
,refer,18,,(verb),يشير إلى
,solve,18,,(verb),يحل
,star,18,,"(noun,verb)",نجم
,voice,18,,"(noun,verb)",صوت
,willing,18,,(adjective),راغب
,born,17,,"(verb,adjective,past particple)",وُلِدّ
,bright,17,,"(adjective,adverb,noun)",ساطع
,broad,17,,"(adjective,noun)",واسع
,capital,17,,"(noun,adjective)",عاصمة
,challenge,17,,"(noun,verb,adjective)",تحدي
,comfortable,17,,"(adjective,noun)",مريح
,constantly,17,,(adverb),باستمرار
,describe,17,,(verb),يصف
,despite,17,,(preposition),بالرغم من
,driver,17,,(noun),driver
,flat,17,,"(adjective,adverb,noun,verb)",مستوي
,flight,17,,(noun),رحلة جوية
,friend,17,,"(noun,verb)",صديق
,gain,17,,"(verb,noun)",يكسب
,him,17,,(pronoun),له
,length,17,,(noun),طول
,magazine,17,,(noun),مجلة
,maybe,17,,"(adverb,noun)",ربما
,newspaper,17,,(noun),صحيفة
,nice,17,,(adjective),لطيف - جيد
,prefer,17,,(verb),يفضل
,prevent,17,,(verb),يمنع
,properly,17,,(adverb),على وجه صحيح
,relationship,17,,(noun),علاقة
,rich,17,,"(adjective,noun)",ثري
,save,17,,"(verb,noun,preposition)",يحفظ
,self,17,,"(noun,pronoun,adjective,verb)",النفس
,shot,17,,"(noun,adjective)",طلقة
,soon,17,,(adverb),قريباً
,specifically,17,,(adverb),خاصة
,stand,17,,"(verb,noun)",يقف
,teaching,17,,(noun),تدريس
,warm,17,,"(adjective,verb)",دافيء
,wonderful,17,,(adjective),رائع
,young,17,,"(adjective,noun)",شاب
,ahead,16,,(adverb),قدما
,brush,16,,"(noun,verb)",فرشاة
,cell,16,,(noun),خلية
,couple,16,,"(noun,verb)",زوج
,daily,16,,(adverb),يوميًا
,dealer,16,,(noun),تاجر
,debate,16,,"(noun,verb)",مناظرة
,discover,16,,(verb),يكتشف
,ensure,16,,(verb),يضمن
,exit,16,,"(noun,verb)",مخرج
,expect,16,,(verb),يتوقع
,experienced,16,,"(past,verb)",ذوي الخبرة
,fail,16,,"(verb,noun)",يفشل
,finding,16,,(noun),العثور على
,front,16,,"(noun,adjective,verb,interjection)",أمام
,function,16,,"(noun,verb)",وظيفة
,heavy,16,,"(adjective,noun,adverb)",ثقيل
,hello,16,,"(interjection,noun)",مرحبًا
,highly,16,,(adverb),للغاية
,immediately,16,,(adverb),في الحال
,impossible,16,,(adjective),مستحيل
,invest,16,,(verb),يستثمر
,lack,16,,"(noun,verb)",نقص
,lake,16,,(noun),بحيرة
,lead,16,,"(verb,noun)",يقود
,listen,16,,"(verb,noun)",يستمع
,living,16,,"(noun,adjective)",معيشة
,member,16,,(noun),عضو
,message,16,,(noun),رسالة
,phone,16,,(noun),هاتف
,plant,16,,"(noun,verb)",نبات
,plastic,16,,"(noun,adjective)",بلاستيك
,reduce,16,,(verb),يقلل
,relatively,16,,(adverb),نسبياً
,scene,16,,(noun),مشهد
,serious,16,,(adjective),جاد
,slowly,16,,(adverb),ببطء
,speak,16,,(verb),يتكلم
,spot,16,,"(noun,verb)",بقعة
,summer,16,,"(noun,verb)",صيف
,taste,16,,"(noun,verb)",ذوق
,theme,16,,"(noun,verb)",سمة
,towards,16,,(preposition),تجاه
,track,16,,"(noun,verb)",مسار
,valuable,16,,"(adjective,noun)",قيّم
,whatever,16,,"(pronoun,adverb,interjection)",أيا كان
,wing,16,,"(noun,verb)",الجناح
,worry,16,,"(verb,noun)",يقلق
,appear,15,,(verb),يظهر
,appearance,15,,(noun),مظهر
,association,15,,(noun),منظمة
,brain,15,,"(noun,verb)",مخ
,button,15,,"(noun,verb)",زر
,click,15,,"(noun,verb)",انقر
,concept,15,,(noun),مفهوم
,correct,15,,"(adjective,verb)",صحيح
,customer,15,,(noun),عميل
,death,15,,(noun),موت
,desire,15,,"(noun,verb)",يرغب
,discussion,15,,(noun),مناقشة
,explain,15,,(verb),يشرح
,explore,15,,(verb),يستكشف
,express,15,,"(verb,adjective,adverb,noun)",يعبر
,fairly,15,,(adverb),إلى حد ما
,fixed,15,,"(past,verb)",مُثَبَّت
,foot,15,,"(noun,verb)",قدم
,gas,15,,"(noun,verb)",غاز
,handle,15,,"(verb,noun)",مقبض
,housing,15,,(noun),الإسكان
,huge,15,,(adjective),ضخم
,inflation,15,,(noun),تضخم اقتصادي
,influence,15,,"(noun,verb)",تأثير
,insurance,15,,(noun),تأمين
,involve,15,,(verb),يتضمن
,leading,15,,"(adjective,noun)",الرائدة
,lose,15,,(verb),يخسر
,meet,15,,"(verb,noun)",يقابل
,mood,15,,(noun),مزاج
,notice,15,,"(noun,verb)",يلاحظ
,primarily,15,,(adverb),في المقام الأول
,rain,15,,"(noun,verb)",مطر
,rare,15,,(adjective),نادر
,release,15,,"(verb,noun)",يطلق
,sell,15,,"(verb,noun)",يبيع
,slow,15,,"(adjective,adverb,verb)",بطيء
,technical,15,,(adjective),اِصطِلاحِيّ
,typical,15,,(adjective),عادي
,upon,15,,(preposition),على
,wall,15,,"(noun,verb)",حائط
,woman,15,,(noun),امرأة
,advice,14,,(noun),نصيحة
,afford,14,,(verb),يمنح
,agree,14,,(verb),يوافق
,base,14,,"(noun,verb,adjective)",قاعدة
,blood,14,,(noun),دم
,clean,14,,"(adjective,adverb,verb)",ينظف
,competitive,14,,(adjective),تنافسي
,completely,14,,(adverb),بالكامل
,critical,14,,(adjective),شديد الأهمية
,damage,14,,"(noun,verb)",ضرر
,distance,14,,"(noun,verb)",مسافة
,effort,14,,(noun),جهد
,electronic,14,,(adjective),إلكتروني
,expression,14,,(noun),تعبير
,feeling,14,,"(noun,adjective)",إحساس
,finish,14,,"(verb,noun)",ينهي
,fresh,14,,"(adjective,adverb)",طازج
,hear,14,,(verb),يسمع
,immediate,14,,(adjective),مباشر
,importance,14,,(noun),أهمية
,normal,14,,"(adjective,noun)",طبيعي
,opinion,14,,(noun),رأي
,otherwise,14,,"(adverb,adjective)",خلاف ذلك
,pair,14,,"(noun,verb)",زوج
,payment,14,,(noun),قسط
,plus,14,,"(preposition,adjective,noun,conjunction)",زائد
,press,14,,"(verb,noun)",يضعط
,reality,14,,(noun),الواقع
,remain,14,,(verb),يبقى
,represent,14,,(verb),يمثل
,responsibility,14,,(noun),مسؤولية
,ride,14,,"(verb,noun)",يركب
,savings,14,,"(noun,adjective,preposition)",المدخرات
,secret,14,,"(adjective,noun)",سر
,situation,14,,(noun),الموقف
,skill,14,,(noun),مهارة
,spread,14,,"(verb,noun)",الانتشار
,spring,14,,"(verb,noun)",ربيع
,staff,14,,"(noun,verb)",طاقم عمل
,statement,14,,(noun),إفادة
,sugar,14,,"(noun,verb)",سكر
,target,14,,"(noun,verb)",هدف
,text,14,,"(noun,verb)",نص
,tough,14,,"(adjective,noun)",قاسٍ
,ultimately,14,,(adverb),أخيرًا
,wait,14,,"(verb,noun)",انتظر
,wealth,14,,(noun),ثروة
,whenever,14,,"(conjunction,adverb)",حينما
,whose,14,,(pronoun),لمن
,widely,14,,(adverb),على نطاق واسع
,animal,13,,"(noun,adjective)",حيوان
,application,13,,(noun),طلب
,apply,13,,(verb),يتقدم
,author,13,,"(noun,verb)",مؤلف
,aware,13,,(adjective),واعي
,brown,13,,"(adjective,noun,verb)",بني
,budget,13,,"(noun,adjective,verb)",ميزانية
,cheap,13,,"(adjective,adverb)",رخيص
,city,13,,(noun),مدينة
,complicated,13,,"(past,verb)",معقد
,county,13,,(noun),مقاطعة
,deep,13,,"(adjective,noun,adverb)",عميق
,depth,13,,(noun),عمق
,discount,13,,"(noun,verb,adjective)",تخفيض
,display,13,,"(verb,noun)",عرض
,educational,13,,(adjective),تعليمية
,environmental,13,,(adjective),بيئية
,estate,13,,(noun),العقارات
,file,13,,"(noun,verb)",ملف
,flow,13,,"(verb,noun)",تدفق
,forget,13,,(verb),ينسى
,foundation,13,,(noun),مؤسسة
,global,13,,(adjective),عالمي
,grandmother,13,,(noun),جدة
,ground,13,,"(noun,verb,adjective)",أرضي
,heart,13,,(noun),قلب
,hit,13,,"(verb,noun)",يضرب
,legal,13,,(adjective),قانوني
,lesson,13,,"(noun,verb)",درس
,minute,13,,"(noun,adjective,verb)",دقيقة
,near,13,,"(adverb,preposition,adjective,verb)",قريب
,objective,13,,"(adjective,noun)",موضوعي
,officer,13,,"(noun,verb)",ضابط
,perspective,13,,(noun),وجهة نظر
,phase,13,,"(noun,verb)",مرحلة
,photo,13,,(noun),صورة
,recently,13,,(adverb),حديثاً
,recipe,13,,(noun),وصفة
,recommend,13,,(verb),يوصي
,reference,13,,"(noun,verb,adjective)",مرجع
,register,13,,"(noun,verb)",يسجل
,relevant,13,,(adjective),مناسب
,rely,13,,(verb),يعتمد
,secure,13,,"(adjective,verb)",يؤمن
,seriously,13,,(adverb),بجد
,shoot,13,,"(verb,noun,interjection)",تبادل لاطلاق النار
,sky,13,,"(noun,verb)",سماء
,stage,13,,"(noun,verb)",منصة
,stick,13,,"(noun,verb)",يلزق
,studio,13,,(noun),studio
,thin,13,,"(adjective,adverb,verb)",رفيع
,title,13,,"(noun,verb)",عنوان
,topic,13,,(noun),عنوان
,touch,13,,"(verb,noun)",يلمس
,trouble,13,,"(noun,verb)",مشكلة
,vary,13,,(verb),يتغير
,accurate,12,,(adjective),دقيق
,advanced,12,,"(past,verb,adjective,noun)",متقدم
,bowl,12,,"(noun,verb)",صَحن
,bridge,12,,"(noun,verb)",كوبري
,campaign,12,,"(noun,verb)",حملة
,cancel,12,,"(verb,noun)",يلغي
,capable,12,,(adjective),قادر
,character,12,,"(noun,adjective,verb)",شخصية
,chemical,12,,"(adjective,noun)",كيميائية
,club,12,,"(noun,verb)",club
,collection,12,,(noun),مجموعة
,cool,12,,"(adjective,adverb,noun,verb)",رائع
,cry,12,,"(verb,noun,idiom)",يبكي
,dangerous,12,,(adjective),خطير
,depression,12,,(noun),اكتئاب
,dump,12,,"(verb,noun,idiom)",أحمق
,edge,12,,"(noun,verb,idiom)",حافة
,evidence,12,,"(noun,verb,idiom)",شهادة
,extreme,12,,"(adjective,noun)",أقصى
,fan,12,,"(noun,verb,idiom)",معجب
,frequently,12,,(adverb),مرارًا
,fully,12,,(adverb),بالكامل
,generate,12,,(verb),يولد
,imagination,12,,(noun),الخيال
,letter,12,,"(noun,verb,idiom)",خطاب
,lock,12,,"(noun,verb,idiom)",قفل
,maximum,12,,"(noun,adjective)",الحد الأقصى
,mostly,12,,(adverb),في الغالب
,myself,12,,(pronoun),نفسي
,naturally,12,,(adverb),بشكل طبيعي
,nearly,12,,(adverb),تقريبا
,novel,12,,"(noun,adjective)",رواية
,obtain,12,,(verb),يحصل على
,occasionally,12,,(adverb),أحياناً
,option,12,,"(noun,verb)",خيار
,organized,12,,"(past,verb)",منظمة
,pack,12,,"(noun,verb,adjective,idiom)",علية
,park,12,,"(noun,verb)",حديقة
,passion,12,,(noun),عاطفة
,percentage,12,,(noun),نسبة مئوية
,plenty,12,,"(noun,adjective,adverb)",كثير
,push,12,,"(verb,noun,idiom)",يدفع
,quarter,12,,"(noun,verb,adjective)",ربع
,resource,12,,(noun),الموارد
,select,12,,"(verb,adjective)",يختار
,setting,12,,(noun),جلسة
,skin,12,,"(noun,verb)",جلد
,sort,12,,"(noun,verb)",نوع
,weight,12,,"(noun,verb)",وزن
,accept,11,,(verb),يقبل
,ad,11,,(noun),إعلان
,agency,11,,(noun),وكالة
,baby,11,,"(noun,verb,adjective)",طفل
,background,11,,"(noun,adjective)",خلفية
,carefully,11,,(adverb),بعناية
,carry,11,,"(noun,verb)",يحمل
,clearly,11,,(adverb),بوضوح
,college,11,,(noun),كلية
,communicate,11,,(verb),يتواصل
,complain,11,,(verb),يشتكي
,conflict,11,,"(verb,noun)",صراع
,connection,11,,(noun),اتصال
,criticism,11,,(noun),نقد
,debt,11,,(noun),دَين
,depend,11,,(verb),تعتمد
,description,11,,(noun),وصف
,die,11,,"(verb,idiom)",يموت
,dish,11,,"(noun,verb,idiom)",طبق
,dramatic,11,,(adjective),دراماتيكي
,eat,11,,"(verb,noun,idiom)",يأكل
,efficient,11,,(adjective),فعال
,enter,11,,(verb),يدخل
,essentially,11,,(adverb),في الأساس
,exact,11,,"(adjective,verb)",بالضبط
,factor,11,,"(noun,verb)",عامل
,fair,11,,"(adjective,adverb,noun,idiom)",عدل
,fill,11,,"(verb,noun,idiom)",يملأ
,fine,11,,"(adjective,adverb,verb,noun)",بخير
,formal,11,,"(adjective,noun,adverb)",رَسمِيّ
,forward,11,,"(adverb,adjective,noun,verb)",إلى الأمام
,fruit,11,,"(noun,verb)",الفاكهة
,glass,11,,"(noun,adjective,verb)٥",زجاج
,happen,11,,(verb),يحدث
,indicate,11,,(verb),يشير
,joint,11,,"(noun,adjective,verb,idiom)",مشترك
,jump,11,,"(verb,noun,adjective,adverb)",القفز
,kick,11,,"(verb,noun,idiom)",ركلة
,master,11,,"(noun,adjective,verb)",يتقن
,memory,11,,(noun),ذاكرة
,muscle,11,,"(noun,verb,adjective)",عضلة
,opposite,11,,"(adjective,noun,preposition,adverb)",عكس
,pass,11,,"(verb,noun,idiom)",يمر
,patience,11,,(noun),الصبر
,pitch,11,,"(verb,noun)",يقذف
,possibly,11,,(adverb),ربما
,powerful,11,,(adjective),قوي
,red,11,,"(noun,adjective,idiom)",أحمر
,remote,11,,"(adjective,noun)",بعيد
,secretary,11,,(noun),سكرتير
,slightly,11,,(adverb),طفيف
,solution,11,,(noun),حل
,somewhat,11,,(adverb),إلى حد ما
,strength,11,,"(noun,idiom)",قوة
,suggest,11,,(verb),يقترح
,survive,11,,(verb),ينجو
,total,11,,"(adjective,noun,verb)",المجموع
,traffic,11,,"(noun,verb)",مرور
,treat,11,,"(verb,noun)",يعامل
,trip,11,,"(noun,verb,idiom)",رحلة
,vast,11,,"(adjective,noun)",واسع
,vegetable,11,,"(noun,adjective)",نباتي
,abuse,10,,"(verb,noun)",إساءة
,administration,10,,(noun),إدارة
,appeal,10,,"(noun,verb)",جاذبية
,appreciate,10,,(verb),يُقَدِّر
,aspect,10,,(noun),وجه
,attitude,10,,(noun),سلوك
,beat,10,,"(verb,noun,adjective)",يهزم
,burn,10,,"(verb,noun)",يحرق
,chart,10,,"(noun,verb)",جدول
,compare,10,,(verb),يقارن
,deposit,10,,"(verb,noun)",إيداع
,director,10,,(noun),مخرج
,equally,10,,(adverb),على قدم المساواة
,foreign,10,,(adjective),أجنبي
,gear,10,,"(noun,verb,adjective,idiom)",والعتاد
,greatly,10,,(adverb),إلى حد كبير
,hungry,10,,(adjective),جائع
,ideal,10,,"(noun,adjective)",مثالي
,imagine,10,,(verb),يتصور
,kitchen,10,,"(noun,adjective)",مطبخ
,land,10,,"(noun,verb,idiom)",أرض
,log,10,,"(noun,verb)",سجل
,lost,10,,"(adjective,verb,idiom)",ضائع
,manage,10,,(verb),يدير
,mother,10,,"(noun,adjective,verb,idiom)",الأم
,necessarily,10,,(adverb),بالضرورة
,net,10,,"(noun,verb)",شبكة
,party,10,,"(noun,adjective,verb)",حزب
,personality,10,,(noun),شخصية
,personally,10,,(adverb),شخصيا
,practical,10,,(adjective),عملي
,principle,10,,"(noun,idiom)",مبدأ
,print,10,,"(verb,noun,adjective,idiom)",مطبعة
,psychological,10,,(adjective),نفسية
,psychology,10,,(noun),علم النفس
,raise,10,,"(verb,noun,idiom)",يرفع
,rarely,10,,(adverb),نادرًا
,recommendation,10,,(noun),توصية
,regularly,10,,(adverb),بانتظام
,relative,10,,"(noun,adjective)",نسبي
,response,10,,(noun),إجابة
,sale,10,,"(noun,idiom)",أُوكَازيُون
,season,10,,"(noun,verb,idiom)",موسم
,selection,10,,(noun),اختيار
,severe,10,,(adjective),شديد
,signal,10,,"(noun,adjective,verb)",إشارة
,similarly,10,,(adverb),بصورة مماثلة
,sleep,10,,"(verb,noun,idiom)",ينام
,smooth,10,,"(adjective,adverb,verb,noun)",سلس
,somewhere,10,,"(adverb,noun)",مكان ما
,spirit,10,,"(noun,verb,idiom)",روح
,storage,10,,(noun),تخزين
,street,10,,"(noun,adjective,idiom)",شارع
,suitable,10,,(adjective),مناسب
,tree,10,,"(noun,verb,idiom)",شجرة
,version,10,,(noun),إصدار
,wave,10,,"(noun,verb,idiom)",موجة
,advance,9,,"(verb,noun,adjective)",يتقدم
,alcohol,9,,(noun),الكحول
,anywhere,9,,"(adverb,noun)",في أي مكان
,argument,9,,(noun),دعوى
,basically,9,,(adverb),أساسًا
,belt,9,,"(noun,verb)",حزام
,bench,9,,"(noun,verb)",مقعد
,closed,9,,"(past,verb)",مغلق
,closely,9,,(adverb),عن كثب
,commission,9,,"(noun,verb)",عمولة
,complaint,9,,(noun),شكوى
,connect,9,,"(verb,adjective)",يتصل
,consist,9,,"(verb,noun)",تتكون
,contract,9,,(noun),عقد
,contribute,9,,"(verb,idiom)",يساهم
,copy,9,,"(noun,verb,idiom)",ينسخ
,dark,9,,"(adjective,noun,idiom)",مظلم
,differ,9,,(verb),تختلف
,double,9,,"(adjective,noun,verb,adverb)",مزدوج
,draw,9,,"(verb,noun,idiom)",يرسم
,drop,9,,"(noun,verb)",يسقط
,effectively,9,,(adverb),بشكل فعال
,emphasis,9,,(noun),توكيد
,encourage,9,,(verb),يشجع
,equal,9,,"(adjective,noun,verb)",متساوي
,everybody,9,,(pronoun),الجميع
,expand,9,,(verb),يوسع
,firm,9,,"(adjective,verb,adverb,noun)",حازم
,fix,9,,"(verb,noun,idiom)",يصلح
,frequent,9,,"(adjective,verb)",متكرر
,highway,9,,(noun),الطريق السريع
,hire,9,,"(verb,noun,adjective,idiom)",يؤجر
,initially,9,,(adverb),بدءًا
,internal,9,,"(adjective,noun)",داخلي
,join,9,,"(verb,noun)",ينضم
,kill,9,,"(verb,noun,idiom)",قتل
,literally,9,,(adverb),حرفياً
,loss,9,,(noun),خسارة
,mainly,9,,(adverb),خاصة
,membership,9,,(noun),عضوية
,merely,9,,(adverb),مُجَرّد
4,minimum,9,,"(noun,adjective)",الحد الأدنى
,numerous,9,,(adjective),عديد
,path,9,,"(noun,idiom)",طريق
,possession,9,,(noun),تملُّك
,preparation,9,,(noun),تحضير
,progress,9,,"(noun,verb,idiom)",تقدم
,project,9,,"(noun,verb)",مشروع
,prove,9,,(verb),يثبت
,react,9,,(verb),رد فعل
,recognize,9,,(verb),يتعرف على
,relax,9,,(verb),يستريح
,replace,9,,(verb),يستبدل
,sea,9,,"(noun,adjective,idiom)",بحر
,sensitive,9,,"(adjective,noun)",حساس
,sit,9,,"(verb,idiom)",يجلس
,south,9,,"(noun,adjective,adverb,verb)",جنوب
,status,9,,"(noun,adjective)",حالة
,steak,9,,(noun),شريحة لحم
,stuff,9,,"(noun,verb)",أشياء
,sufficient,9,,(adjective),كافٍ
,tap,9,,"(verb,noun)",مقبض
,ticket,9,,"(noun,verb,idiom)",تذكرة
,tour,9,,"(noun,verb)",رحلة
,union,9,,(noun),الاتحاد
,unusual,9,,(adjective),غير عادي
,win,9,,"(verb,noun)",يفوز
,agreement,8,,(noun),اتفاق
,angle,8,,"(noun,verb)",زاوية
,attack,8,,"(verb,noun)",هجوم
,blue,8,,"(noun,verb,adjective)",أزرق
,borrow,8,,(verb),يستعير
,breakfast,8,,"(noun,verb)",إفطار
,cancer,8,,(noun),سرطان
,claim,8,,"(verb,noun)",مطالبة
,confidence,8,,"(noun,idiom)",ثقة
,consistent,8,,(adjective),ثابت
,constant,8,,"(adjective,noun)",ثابت
,cultural,8,,(adjective),ثقافية
,currency,8,,(noun),عملة
,daughter,8,,"(noun,adjective)",بنت
,degree,8,,"(noun,idiom)",درجة
,doctor,8,,"(noun,verb)",طبيب
,dot,8,,"(noun,verb,idiom)",نقطة
,drag,8,,"(verb,noun,adjective,idiom)",يجر
,dream,8,,"(noun,verb,adjective)",حلم
,drink,8,,"(verb,noun)",شرب
قال,duty,8,,"(noun,idiom)",واجب
,earn,8,,(verb),يكسب
,emphasize,8,,(verb),يؤكد
,employment,8,,(noun),توظيف
,enable,8,,(verb),يُمكَِن
,engineering,8,,(noun),هندسة
,entry,8,,(noun),دخول
,essay,8,,"(noun,verb)",مقال
,existing,8,,(adjective),موجود
,famous,8,,(adjective),مشهور
,father,8,,"(noun,verb)",أب
,fee,8,,"(noun,verb)",مصاريف
,finance,8,,"(noun,verb)",تمويل
,gently,8,,(adverb),بلطف
,guess,8,,"(verb,noun,idiom)",يخمن
,hopefully,8,,(adverb),أملاً
,hour,8,,"(noun,adjective,idiom)",ساعة
,interaction,8,,(noun),تفاعل
,juice,8,,"(noun,verb,idiom)",عصير
,limit,8,,"(noun,verb)",حد
,luck,8,,"(noun,verb,idiom)",حظ
,milk,8,,"(noun,verb,idiom)",لبن
,minor,8,,"(adjective,noun,verb)",صغير
,mixed,8,,"(past,verb)",مختلط
,mouth,8,,"(noun,verb,idiom)",فم
,nor,8,,(conjunction),ولا
,operate,8,,(verb),تعمل
,originally,8,,(adverb),أصلا
,peace,8,,"(noun,interjection,verb,idiom)",سلام
,pipe,8,,"(noun,verb)",ماسورة
,please,8,,"(adverb,verb,idiom)",لو سمحت
,preference,8,,(noun),التفضيل
,mixture,8,,(noun),خليط
,previous,8,,"(adjective,idiom)",سابق
,pull,8,,"(verb,noun)",يحذب
,pure,8,,(adjective),نقي
,raw,8,,"(adjective,noun,idiom)",خام
,reflect,8,,(verb),يعكس
,region,8,,(noun),منطقة
,republic,8,,(noun),جمهورية
,roughly,8,,(adverb),تقريبا
,seat,8,,"(noun,verb)",مقعد
,send,8,,(verb),يرسل
,significantly,8,,(adverb),بشكل كبير
,soft,8,,"(adjective,noun,adverb,interjection)",ناعم
,solid,8,,"(adjective,noun)",صلب
,stable,8,,"(noun,verb)",مستقر
,storm,8,,"(noun,verb,idiom)",عاصفة
,substance,8,,"(noun,idiom)",مادة
,team,8,,"(noun,verb,adjective)",فريق
,tradition,8,,(noun),التقليد
,trick,8,,"(noun,adjective,verb,idiom)",حيلة
,virus,8,,(noun),فايروس
,wear,8,,"(verb,noun,idiom)",يرتدي
,weird,8,,"(adjective,noun)",غريب
,wonder,8,,"(verb,noun,idiom)",يتعجب
,actor,7,,(noun),ممثل
,afraid,7,,(adjective),خائف
,afternoon,7,,"(noun,adjective)",بعد الظهر
,amazing,7,,"(adjective,verb)",مدهش
